,Solvent 1,Solvent 2,Solvent 3,Solvent 4,Weights,M,Salt,Molality,Slope,Intercept,Goodness
4983,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.432444733, 0.432444733]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.027878146,-900.9798705,0.975977639,1
4985,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.433010839, 0.433010839]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.017932087,-834.4129914,0.771435146,1
4990,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.432633435, 0.432633435]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.024559898,-573.5108879,-0.067294095,1
4992,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.418103391, 0.418103391]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.288828872,-1134.636767,1.769974777,0.998756911
4993,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.417914689, 0.417914689]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.292381815,-971.4227735,1.207542271,0.990695025
4994,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.418292093, 0.418292093]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.285279144,-892.9170963,0.920955418,1
5002,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.407913491, 0.407913491]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.485391631,-1138.255914,1.748407169,0.988466388
5004,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.407724789, 0.407724789]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.489124332,-908.3095764,0.93491659,1
5012,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.394610009, 0.394610009]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.757293481,-1181.08113,1.849357172,0.979644935
5013,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.39470436, 0.39470436]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],1.755300573,-1078.94501,1.433685984,1
5022,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.379891264, 0.379891264]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],2.08031126,-1505.770971,2.972860685,0.975099955
5027,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.380079966, 0.380079966]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],2.076011687,-994.2054894,1.198727869,1
5033,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.362625043, 0.362625043]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],2.492658618,-1318.847267,2.100163906,1
5034,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.362813745, 0.362813745]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],2.487939965,-1295.406132,2.069715764,1
5036,CCOC(OC)=O,O=C1OCCO1,nan,nan,"[0.363002447, 0.363002447]","[104.0473441, 88.01604399]",F[P-](F)(F)(F)(F)F.[Li+],2.483226231,-1242.727882,1.9676214,1
5298,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au],nan,nan,nan,[0.978511771],[1159.002974],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.113205429,-2128.885905,1.990521544,0.944334668
5322,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au],nan,nan,nan,[0.968110283],[759.0029742],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.169808145,-2438.920065,3.102187219,0.967790285
5346,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCC[Au],nan,nan,nan,[0.983206742],[559.0029742],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.08804867,-2648.950442,3.430329938,0.980445743
5369,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCC[Au],nan,nan,nan,[0.991928242],[359.0029742],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.041948899,-3410.046681,4.758541753,0.989455775
5386,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCC[Au],nan,nan,nan,[0.998477314],[291.0029742],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.00786149,-4076.55073,5.981687712,0.99459784
5399,[Cu][B-]1(OC(=O)C(=O)O1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)[Au],nan,nan,nan,[0.943863433],[551.0029742],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.306598041,-2950.700448,3.757085134,0.988425339
5419,[Cu][B-]1(OC(=O)C(=O)O1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)[Au],nan,nan,nan,[0.866760838],[887.0029742],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.792438009,-2660.105515,3.385185817,0.982217154
5443,[Cu][B-]1(OC(=O)C(=O)O1)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)[Au],nan,nan,nan,[0.885488091],[1111.002974],O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.666654195,-2339.887527,2.288833865,0.980919248
6028,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,[Cu]CC(Cl)[Au],nan,nan,"[0.55, 0.33]","[278.1518092, 61988.49398]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.475245073,-2639.38541,3.745602247,0.979869394
6035,[Cu]CC(Cl)[Au],CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,nan,nan,"[0.5, 0.41]","[61988.49398, 278.1518092]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.34468324,-2780.970763,3.765888721,0.98386056
6043,[Cu]CC(Cl)[Au],CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,nan,nan,"[0.67, 0.27]","[61988.49398, 278.1518092]",O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.222455141,-3447.836183,4.377462256,0.987644274
6048,CCOC(=O)OCC,O=C1OCCO1,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au],nan,"[0.45712, 0.3048, 0.2]","[118.0629942, 88.01604399, 110000.0]",O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],0.102312583,-1286.017325,1.636255139,0.990908122
